#--- Experiment --------------------------------------------------------------------------
#tank4
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.3.1.1746   www.pyroscience.com
#TARRANT-X230
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-Ofav [A] FSO2-C4 SN:247475085D64A795 Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - SC6-540-199
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	7/12/2022	12/31/2000	24.107000	54.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1008.323000	6.469000	63.811000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (%air sat.) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
12-07-2022	17:26:30.478	0.450	114.870	21.702	19	0	NotOK(11)	12-07-2022	17:26:30.478	0.450	13.116	OK	12-07-2022	17:26:30.478	0.450	1007	OK
12-07-2022	17:26:31.485	1.457	114.261	21.763	19	0	NotOK(11)	12-07-2022	17:26:31.485	1.457	13.116	OK	12-07-2022	17:26:31.485	1.457	1007	OK
12-07-2022	17:26:32.486	2.458	114.977	21.691	19	0	NotOK(11)	12-07-2022	17:26:32.486	2.458	13.116	OK	12-07-2022	17:26:32.486	2.458	1007	OK
12-07-2022	17:26:33.480	3.452	115.197	21.668	19	0	NotOK(11)	12-07-2022	17:26:33.480	3.452	13.116	OK	12-07-2022	17:26:33.480	3.452	1007	OK
12-07-2022	17:26:34.479	4.451	114.583	21.731	19	0	NotOK(11)	12-07-2022	17:26:34.479	4.451	13.113	OK	12-07-2022	17:26:34.479	4.451	1007	OK
12-07-2022	17:26:35.480	5.452	114.303	21.760	19	0	NotOK(11)	12-07-2022	17:26:35.480	5.452	13.112	OK	12-07-2022	17:26:35.480	5.452	1007	OK
12-07-2022	17:26:36.480	6.451	115.127	21.676	19	0	NotOK(11)	12-07-2022	17:26:36.480	6.451	13.110	OK	12-07-2022	17:26:36.480	6.451	1007	OK
12-07-2022	17:26:37.479	7.450	114.635	21.726	19	0	NotOK(11)	12-07-2022	17:26:37.479	7.450	13.108	OK	12-07-2022	17:26:37.479	7.450	1007	OK
12-07-2022	17:26:38.478	8.449	114.770	21.712	19	0	NotOK(11)	12-07-2022	17:26:38.478	8.449	13.110	OK	12-07-2022	17:26:38.478	8.449	1007	OK
12-07-2022	17:26:39.493	9.465	114.387	21.750	19	0	NotOK(11)	12-07-2022	17:26:39.493	9.465	13.114	OK	12-07-2022	17:26:39.493	9.465	1007	OK
12-07-2022	17:26:40.481	10.453	114.562	21.732	19	0	NotOK(11)	12-07-2022	17:26:40.481	10.453	13.115	OK	12-07-2022	17:26:40.481	10.453	1007	OK
12-07-2022	17:26:41.484	11.456	114.956	21.692	19	0	NotOK(11)	12-07-2022	17:26:41.484	11.456	13.117	OK	12-07-2022	17:26:41.484	11.456	1007	OK
12-07-2022	17:26:42.507	12.479	114.560	21.733	19	0	NotOK(11)	12-07-2022	17:26:42.507	12.479	13.114	OK	12-07-2022	17:26:42.507	12.479	1007	OK
12-07-2022	17:26:43.479	13.451	114.412	21.748	19	0	NotOK(11)	12-07-2022	17:26:43.479	13.451	13.114	OK	12-07-2022	17:26:43.479	13.451	1007	OK
