,lipid_3,lipid_6,lipid_9,lipid_4,lipid_1,lipid_12,lipid_5,lipid_7,lipid_8,lipid_11,lipid_2,lipid_10
metabolite_4,0.432451386227712,0.665332418841714,0.71847896618699,0.040654414434857,0.0133473734450815,0.253406237747373,0.00264468670791781,0.00784121117264562,0.694313718120516,0.951190700714087,0.678987439579914,0.321172140536325
metabolite_6,0.149075503268265,0.889073006759157,0.800509541771186,0.207046925103646,0.140352599461678,0.239000117719219,0.279249828374726,0.00599632248567041,0.0178619972143952,0.0110441260071523,0.879613838400088,0.00373528837729645
metabolite_3,0.182307423374338,0.448496948190716,0.289319464952114,0.0622158480319843,0.338114793677815,0.0832577204750956,0.688008151657922,0.317198945429731,0.95124761049054,0.776411714417937,0.221823252327619,0.407064329447525
metabolite_7,0.499395125587647,0.982353639844365,0.6531815093738,0.545238616062798,0.22834819049922,0.672422903144085,0.951180126874693,0.245523126203628,0.0315808775090538,0.0963239744075972,0.997323378672518,0.139402489582582
metabolite_2,0.249987425754866,0.0749595008241664,0.982976246601253,0.97627544627238,0.348080119379321,0.21182811761559,0.623266721389584,0.507049646609515,0.34547979489464,0.386366639957821,0.610771351390916,0.176449148183921
metabolite_5,0.111659158980196,0.987441154519602,0.482798005795676,0.33789735980321,0.0372969463664401,0.429698269562557,0.195433052393123,0.00413756407554521,0.0181556780425107,0.104244246783925,0.616108250282407,0.0435255475732948
