,lipid_0,lipid_3,lipid_6,lipid_9,lipid_4,lipid_1,lipid_12,lipid_5,lipid_7,lipid_8,lipid_11,lipid_2,lipid_10
metabolite_4,0.313276415731263,0.779009888643532,0.0479540230048505,0.229595458816053,3.70882593403897e-05,8.08372461853222e-06,0.0568590375566678,5.36619244085713e-06,1.32183686165018e-06,0.0111196682206626,0.56320068837032,0.0503894137424744,0.000294634670603375
metabolite_6,0.851105788386858,0.766977830669699,0.0818827952597036,0.847427847989444,0.0231988603336511,0.0238360861640131,0.172910242988081,0.136795995111376,1.20704238202117e-09,0.614779243604572,0.52229845955847,0.822864643041895,0.015765177281564
metabolite_0,0.789838053991517,0.478146341806241,0.385383765695303,0.0217843767475404,0.335263657047864,0.544509939144943,0.123898985357984,0.0203947759834212,0.205789591407565,0.554920004612217,0.0852075153960814,0.143206923413186,0.340041527951478
metabolite_3,0.591408078685041,0.403634016817752,0.342894656724681,6.70463135455684e-09,2.92877165669298e-06,0.000673786506590761,9.03179178089373e-05,0.00172226926310172,0.0246891601458892,0.00759823404064071,0.123737657188164,0.0681019346005143,0.192057068929325
metabolite_7,0.607229374677195,0.937665976080643,0.156101287411844,0.765992068727866,0.000264899567093894,0.0045857329297056,0.274673306873357,0.445381966591403,0.0953980425877569,0.000224780857996352,0.0681430187492181,0.00071561966502368,8.00640021459842e-05
metabolite_2,0.588231159537516,0.0141381951678761,4.02044678190275e-05,0.557798955430446,0.0118006861029688,0.0104958834707973,0.294367560886667,0.0140463903220352,0.029508748428548,0.000143068836615605,0.0137209549476697,0.0291184032201543,0.00085532843124949
metabolite_5,0.455046237401492,0.016770929943448,0.541051679036103,0.00564676214364595,0.0126533786834726,0.820235863465954,0.275714027687233,0.44329968182196,0.115743041412309,0.736942485030338,0.977760353843863,0.00537236696076156,0.75970393921299
