,lipid_3,lipid_6,lipid_9,lipid_4,lipid_1,lipid_12,lipid_5,lipid_7,lipid_8,lipid_11,lipid_2,lipid_10
metabolite_4,0.35587599064527,0.44864635195707,0.642227887552897,0.0933401464957595,0.0794622482944499,0.492643561761814,0.31817560365702,0.00925050333688945,0.5821118140485,0.596176175017091,0.71513290247788,0.1584433363529
metabolite_6,0.546842281261012,0.34582329509008,0.971775057996717,0.106237376142304,0.127097945251878,0.538020042582201,0.252790671043169,0.0017322100853063,0.620037561123324,0.96753364372468,0.512474000549834,0.172858795171222
metabolite_3,0.155749873590148,0.0393388717220709,0.00150669147453899,0.0127280843747439,0.0514391086792087,0.00384060850309358,0.10056285755682,0.0781064812124913,0.980418056363517,0.846338592897898,0.586756680635926,0.77285484387676
metabolite_7,0.934796315028072,0.339913152468247,0.491798170330017,0.854354289965401,0.233847946304332,0.544117756443433,0.664372813607316,0.521374822384426,0.0409701163806373,0.86920060129335,0.74496229717772,0.0077328636280939
metabolite_2,0.8702272403758,0.158895346516092,0.983759267079708,0.168299484394393,0.0494300020846566,0.789968934161765,0.553693278969075,0.0191167851219019,0.185458339060766,0.290528636564288,0.624931571445927,0.146124802979203
metabolite_5,0.206682303288879,0.863904265953465,0.0958700450939684,0.675140117765606,0.549254983773767,0.578240891177025,0.185747146018401,0.484494514194223,0.305256443673854,0.597477687158324,0.870018804701515,0.562891812369036
