#--- Experiment --------------------------------------------------------------------------
#tank2
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.3.1.1746   www.pyroscience.com
#TARRANT-X230
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-O2-Ofav [A] FSO2-C4 SN:247475085D64A795 Firmware:4.05 Build:003
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.3] - Oxygen Sensor - SC6-540-199
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Dual Frequency (Hz)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	5M (200x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	0	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	35.000000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	7/7/2022	12/31/2000	24.408000	54.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.811000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.763000	5.665000	53.071000	20.000000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.3 Main]	Time [A Ch.3 Main]	 dt (s) [A Ch.3 Main]	Oxygen (%air sat.) [A Ch.3 Main]	dphi (°) [A Ch.3 Main]	Signal Intensity (mV) [A Ch.3 Main]	Ambient Light (mV) [A Ch.3 Main]	Status [A Ch.3 Main]	Date [A Ch.3 CompT]	Time [A Ch.3 CompT]	 dt (s) [A Ch.3 CompT]	Sample Temp. (°C) [A Ch.3 CompT]	Status [A Ch.3 CompT]	Date [A Ch.3 CompP]	Time [A Ch.3 CompP]	 dt (s) [A Ch.3 CompP]	Pressure (mbar) [A Ch.3 CompP]	Status [A Ch.3 CompP]
08-07-2022	12:31:12.462	-0.036	105.788	23.864	7	1	NotOK(12)	08-07-2022	12:31:12.462	-0.036	5.222	OK	08-07-2022	12:31:12.462	-0.036	1015	OK
08-07-2022	12:31:13.455	0.957	105.566	23.889	7	0	NotOK(12)	08-07-2022	12:31:13.455	0.957	5.224	OK	08-07-2022	12:31:13.455	0.957	1015	OK
08-07-2022	12:31:14.459	1.961	106.428	23.791	7	0	NotOK(12)	08-07-2022	12:31:14.459	1.961	5.222	OK	08-07-2022	12:31:14.459	1.961	1015	OK
08-07-2022	12:31:15.456	2.958	105.011	23.953	7	0	NotOK(12)	08-07-2022	12:31:15.456	2.958	5.222	OK	08-07-2022	12:31:15.456	2.958	1015	OK
08-07-2022	12:31:16.456	3.958	105.956	23.844	7	0	NotOK(12)	08-07-2022	12:31:16.456	3.958	5.221	OK	08-07-2022	12:31:16.456	3.958	1016	OK
08-07-2022	12:31:17.456	4.958	105.515	23.895	7	0	NotOK(12)	08-07-2022	12:31:17.456	4.958	5.221	OK	08-07-2022	12:31:17.456	4.958	1015	OK
08-07-2022	12:31:18.456	5.958	105.360	23.913	7	0	NotOK(12)	08-07-2022	12:31:18.456	5.958	5.220	OK	08-07-2022	12:31:18.456	5.958	1015	OK
08-07-2022	12:31:19.459	6.960	105.214	23.930	7	0	NotOK(12)	08-07-2022	12:31:19.459	6.960	5.219	OK	08-07-2022	12:31:19.459	6.960	1015	OK
08-07-2022	12:31:20.457	7.958	107.275	23.695	7	0	NotOK(12)	08-07-2022	12:31:20.457	7.958	5.217	OK	08-07-2022	12:31:20.457	7.958	1015	OK
08-07-2022	12:31:21.458	8.960	106.179	23.820	7	0	NotOK(12)	08-07-2022	12:31:21.458	8.960	5.215	OK	08-07-2022	12:31:21.458	8.960	1015	OK
08-07-2022	12:31:22.466	9.968	106.028	23.837	7	0	NotOK(12)	08-07-2022	12:31:22.466	9.968	5.217	OK	08-07-2022	12:31:22.466	9.968	1015	OK
08-07-2022	12:31:23.456	10.958	105.542	23.892	7	0	NotOK(12)	08-07-2022	12:31:23.456	10.958	5.220	OK	08-07-2022	12:31:23.456	10.958	1015	OK
08-07-2022	12:31:24.458	11.960	106.408	23.793	7	0	NotOK(12)	08-07-2022	12:31:24.458	11.960	5.223	OK	08-07-2022	12:31:24.458	11.960	1015	OK
08-07-2022	12:31:25.456	12.958	106.135	23.823	7	0	NotOK(12)	08-07-2022	12:31:25.456	12.958	5.224	OK	08-07-2022	12:31:25.456	12.958	1016	OK
08-07-2022	12:31:26.483	13.985	106.191	23.818	7	0	NotOK(12)	08-07-2022	12:31:26.483	13.985	5.223	OK	08-07-2022	12:31:26.483	13.985	1015	OK
08-07-2022	12:31:27.458	14.960	105.512	23.896	7	0	NotOK(12)	08-07-2022	12:31:27.458	14.960	5.221	OK	08-07-2022	12:31:27.458	14.960	1015	OK
08-07-2022	12:31:28.461	15.963	105.699	23.874	7	0	NotOK(12)	08-07-2022	12:31:28.461	15.963	5.220	OK	08-07-2022	12:31:28.461	15.963	1015	OK
08-07-2022	12:31:29.458	16.960	105.918	23.849	7	0	NotOK(12)	08-07-2022	12:31:29.458	16.960	5.220	OK	08-07-2022	12:31:29.458	16.960	1015	OK
08-07-2022	12:31:30.457	17.959	105.590	23.887	7	0	NotOK(12)	08-07-2022	12:31:30.457	17.959	5.219	OK	08-07-2022	12:31:30.457	17.959	1015	OK
