"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"N-(1,3-dihydroxyoctadecan-2-yl)eicosanamide","Cer(d18:0/20:0)","HMDB0011764","5283574",NA,"CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC","1"
"N-(1,3-dihydroxydocosan-2-yl)hexacosanamide","NA","NA","NA","NA","NA","0"
"N-(hexadecanoyl)-sphinganine","Cer(d18:0/16:0)","HMDB0011760","5283572",NA,"CCCCCCCCCCCCCCC[C@@H](O)[C@H](CO)NC(=O)CCCCCCCCCCCCCCC","1"
"N-(1,3-dihydroxyoctadecan-2-yl)octadecanamide","NA","NA","NA","NA","NA","0"
"Fahfa 25:0/21:0","NA","NA","NA","NA","NA","0"
"N-(15Z-tetracosenoyl)-1-beta-glucosyl-sphing-4-enine","GlcCer(d18:1/24:1)","HMDB0004975","20057357","C01190","CCCCCCCCCCCCC\C=C\[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC","1"
"(3-Octadecanoyloxy-2-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"[3-acetyloxy-2-[(Z)-heptadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"Colfosceril Palmitate","PC(32:0)","HMDB0000564","452110","C00157","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC","1"
"1-Stearoyl-2-oleoyl-sn-glycero-3-phosphocholine","PC(18:0/18:1(9Z))","HMDB0008038","24778825","C00157","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"3-(Octadecyloxy)-2-(palmitoyloxy)propyl 2-(trimethylammonio)ethyl phosphate","NA","NA","NA","NA","NA","0"
"(2-Hexacosanoyloxy-3-octoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"[(2R)-2-hexadecoxy-3-octadecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"(3-Hexadecoxy-2-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"[2-[(Z)-docos-13-enoyl]oxy-3-tetradecoxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"1-(11Z-octadecenyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine","PC(O-18:1(11Z)/16:0)","HMDB0013424","53481719",NA,"CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"1-(1-Enyl-vaccenoyl)-2-palmitoyl-sn-glycero-3-phosphocholine","PC(P-18:1(11Z)/16:0)","HMDB0011272","53480735",NA,"CCCCCCCCCCCCCCCC(=O)OC(CO\C=C/CCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"1-(1Z,11Z-octadecadienyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine","NA","NA","NA","NA","NA","0"
"PC(O-16:0/20:2(11Z,14Z))","PC(O-16:0/20:2(11Z,14Z))",NA,"52923754",NA,"CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O(COCCCCCCCCCCCCCCCC)COP(=O)()OCC(C)(C)C","1"
"1-(1Z,9Z-octadecadienyl)-2-octadecanoyl-sn-glycero-3-phosphocholine","PC(36:2)","HMDB0000593","10350317","C00157","CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
