"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HexCer 18:0;2O/14:0","NA","NA","NA","NA","NA","0"
"(3-Hexadecanoyloxy-2-tetradecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"1-Hexadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine","PC(16:0/18:0)","HMDB0007970","24778686","C00157","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC","1"
"(2-Henicosanoyloxy-3-octoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"(3-Octoxy-2-tricosanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"(2-Hexadecanoyloxy-3-pentadecoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"1-Palmitoyl-2-hexadecyl-sn-glycero-3-phosphocholine","NA","NA","NA","NA","NA","0"
"(3-Octoxy-2-pentacosanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"Phosphatidylethanolamine 18:0-22:3","NA","NA","NA","NA","NA","0"
"N-(dodecanoyl)-sphing-4-enine-1-phosphocholine","SM(d18:0/12:0)","HMDB0012084","53481358","C00550","CCCCCCCCCCCCCCC[C@@H](O)[C@H](COP([O-])(=O)OCC[N+](C)(C)C)NC(O)CCCCCCCCCCC","1"
"N-(heptadecanoyl)-4E-tetradecasphingenine-1-phosphocholine","NA","NA","NA","NA","NA","0"
"C14DH Sphingomyelin","NA","NA","NA","NA","NA","0"
"[3-Hydroxy-2-(tridecanoylamino)nonadecyl] 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"C14 Sphingomyelin","SM(d18:0/14:0)","HMDB0012085","44260138","C00550","[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCC)[C@H](O)CCCCCCCCCCCCCCC","1"
"N-(tetradecanoyl)-4E,14Z-sphingadienine-1-phosphocholine","NA","NA","NA","NA","NA","0"
"N-(pentadecanoyl)-sphing-4-enine-1-phosphocholine","SM(d18:1/15:0)","HMDB0240608","52931139",NA,"[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"N-Palmitoyldihydrosphingomyelin","SM(d18:0/16:0)","HMDB0010168","9939965","C00550","[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCC)[C@H](O)CCCCCCCCCCCCCCC","1"
"Palmitoyl sphingomyelin","SM(d18:1/16:0)","HMDB0010169","9939941","C00550","[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"N-(hexadecanoyl)-4E,14Z-sphingadienine-1-phosphocholine","NA","NA","NA","NA","NA","0"
"[(E)-2-[[(Z)-henicos-9-enoyl]amino]-3-hydroxytetradec-4-enyl] 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"[(4E,8E,12E)-3-hydroxy-2-[[(Z)-tetradec-9-enoyl]amino]docosa-4,8,12-trienyl] 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
