"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)","PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)","HMDB0008495","52923341","C00157","CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0008015","24778771","C00157","CCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"PC(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z))","PC(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z))","HMDB0008205","52922847","C00157","[H][C@@](COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"1-eicosanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine","PC(20:0/18:2(9Z,12Z))","HMDB0008270","24779263","C00157","CCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"PC(20:2(11Z,14Z)/18:1(11Z))","PC(20:2(11Z,14Z)/18:1(11Z))","HMDB0008334","53478919","C00157","CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"[(2R)-2-[(5Z,8Z,11Z,14Z)-1-oxoeicosa-5,8,11,14-tetraenoxy]-3-(1-oxooctadecoxy)propyl] 2-(trimethylammonio)ethyl phosphate","NA","NA","NA","NA","NA","0"
"PC(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))","PC(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))","HMDB0008402","52923235","C00157","CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"PC(20:4(5Z,8Z,11Z,14Z)/18:1(11Z))","PC(20:4(5Z,8Z,11Z,14Z)/18:1(11Z))","HMDB0008432","53479033","C00157","CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))","PC(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))","HMDB0008434","52923295","C00157","CCCCC\C=C/C\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))","PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))","HMDB0008148","53478789","C00157","CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"PC(20:4(8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))","PC(20:4(8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))","HMDB0008468","53479075","C00157","CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"[2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl]oxy-3-[(9Z,12Z)-hexadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"1-(9Z,12Z-heptadecadienoyl)-2-(7Z,10Z,13Z,16Z-docosatetraenoyl)-glycero-3-phosphocholine","NA","NA","NA","NA","NA","0"
"[3-docosanoyloxy-2-[(9Z,12Z,15Z)-octadeca-9,12,15-trienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"1-(13Z-docosenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine","NA","NA","NA","NA","NA","0"
"PC(22:2(13Z,16Z)/18:2(9Z,12Z))","PC(22:2(13Z,16Z)/18:2(9Z,12Z))","HMDB0008598","52923573","C00157","CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"PC(20:4(8Z,11Z,14Z,17Z)/20:1(11Z))","PC(20:4(8Z,11Z,14Z,17Z)/20:1(11Z))","HMDB0008472","53479083","C00157","CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"PC(20:1(11Z)/20:4(5Z,8Z,11Z,14Z))","PC(20:1(11Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0008312","52923133","C00157","CCCCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))","PC(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))","HMDB0008601","52923579","C00157","CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0008345","52923195","C00157","CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-octadec-9-enoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"PC(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))","PC(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0008154","24778982","C00157","CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"(2-Docosa-4,7,10,13,16,19-hexaenoyloxy-3-nonadecanoyloxypropyl) 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
"PC(22:2(13Z,16Z)/20:3(8Z,11Z,14Z))","PC(22:2(13Z,16Z)/20:3(8Z,11Z,14Z))","HMDB0008606","52923591","C00157","CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC","1"
"PC(22:4(7Z,10Z,13Z,16Z)/20:2(11Z,14Z))","PC(22:4(7Z,10Z,13Z,16Z)/20:2(11Z,14Z))","HMDB0008637","52923651","C00157","CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"[3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxy-2-[(12Z,15Z,18Z,21Z)-tetracosa-12,15,18,21-tetraenoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","NA","NA","NA","NA","NA","0"
