"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"15-Oxoicosa-5,8,11,13-tetraenoic acid","NA","NA","NA","NA","NA","0"
"4-Hydroxydocosa-5,7,10,13,16,19-hexaenoic acid","NA","NA","NA","NA","NA","0"
"5-Hete","5-HETE","HMDB0011134","5280733","C04805","CCCCC\C=C/C\C=C/C\C=C/C=C/[C@@H](O)CCCC(O)=O","1"
"9-heptadecenoic acid","9E-Heptadecenoic acid","HMDB0031046","5312440","C16536","CCCCCCC\C=C\CCCCCCCC(O)=O","1"
"Emersol 220 White Oleate","Oleic acid","HMDB0000207","445639","C00712","CCCCCCCC\C=C/CCCCCCCC(O)=O","1"
"9,11-Octadecadienoic acid","Bovinic acid","HMDB0003797","5280644","C04056","CCCCCC\C=C\C=C/CCCCCCCC(O)=O","1"
"LINOLENIC ACID","alpha-Linolenic acid","HMDB0001388","5280934","C06427","CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O","1"
"9-Nonadecenoic acid","NA","NA","NA","NA","NA","0"
"(EZ)-Icosenoic acid","11Z-Eicosenoic acid","HMDB0002231","5282768","C16526","CCCCCCCC\C=C/CCCCCCCCCC(O)=O","1"
"Eicosadienoic acid","Eicosadienoic acid","HMDB0005060","6439848","C16525","CCCCC\C=C/C\C=C/CCCCCCCCCC(O)=O","1"
"11,14,17-Eicosatrienoic acid","11,14,17-eicosatrienoic acid",NA,"5282827",NA,"CC/C=C/C/C=C/C/C=C/CCCCCCCCCC(=O)O","1"
"Arachidonate","Arachidonic acid","HMDB0001043","444899","C00219","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"Icosapent (INN)","Eicosapentaenoic acid","HMDB0001999","446284","C06428","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"Erucic Acid","Erucic acid","HMDB0002068","5281116","C08316","CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O","1"
"13,16-Docosadienoic acid","13,16-Docosadienoic acid","HMDB0244521","193435",NA,"CCCCCC=CCC=CCCCCCCCCCCCC(O)=O","1"
"(7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoic acid","Adrenic acid","HMDB0002226","5497181","C16527","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(O)=O","1"
"HXA","NA","NA","NA","NA","NA","0"
"Fahfa 18:1/20:3","NA","NA","NA","NA","NA","0"
"1-16:0-2-lysophosphatidylcholine","LysoPC(16:0/0:0)","HMDB0010382","460602","C04230","CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
